allele_name,dataset_size,auc_mean,auc_median,auc_std,auc_min,auc_max,accuracy_mean,accuracy_median,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_median,f1_std,f1_min,f1_max,config_idx,embedding_size,hidden_layer_size,activation,loss,init,n_pretrain_epochs,n_epochs,dropout_probability,max_ic50
A0101,3169,0.9611629076445858,0.9605008301051466,0.011968408493293555,0.9414864539829007,0.9766789285040558,0.9365716307603371,0.9384858044164038,0.004415508155221507,0.9305993690851735,0.9416403785488959,0.7343862882291461,0.7338129496402876,0.01544578571473906,0.717948717948718,0.7594936708860759,0,0,64,relu,mse,uniform,0,200,0,5000
A0201,6961,0.9588437205846525,0.958752548638503,0.00326169813344127,0.9534084945269156,0.9630860646520601,0.9008764058387173,0.9030172413793104,0.008762061574184944,0.8850574712643678,0.9116379310344828,0.8418125121780313,0.8458864426419467,0.011803919356454796,0.8198198198198198,0.8540925266903916,0,0,64,relu,mse,uniform,0,200,0,5000
A0202,2314,0.9271121767055759,0.9259563965446319,0.011716149307292789,0.9114131262372468,0.9414445074683305,0.8500518919525399,0.8488120950323974,0.019576470238860673,0.8207343412526998,0.8725701943844493,0.8383891326683168,0.8529411764705883,0.02808776628449548,0.7877237851662404,0.8623853211009174,0,0,64,relu,mse,uniform,0,200,0,5000
A0203,3937,0.950396552686593,0.9497797921922436,0.011477488063823931,0.9304300131636682,0.9651493753394894,0.8872245048020175,0.8869123252858958,0.013000537776248369,0.8692893401015228,0.9022842639593909,0.8283271178347448,0.8368200836820082,0.019012206165888227,0.8052930056710775,0.8538899430740037,0,0,64,relu,mse,uniform,0,200,0,5000
A0205,36,0.8333333333333334,0.8333333333333334,0.13608276348795434,0.6666666666666666,1.0,0.7678571428571428,0.8571428571428571,0.1390871600660467,0.5714285714285714,0.875,0.8612276612276611,0.923076923076923,0.09481294474205507,0.7272727272727273,0.9333333333333333,0,0,64,relu,mse,uniform,0,200,0,5000
A0206,3223,0.9132676398062781,0.9125974683544305,0.004558162917754997,0.9061583577712611,0.919104938271605,0.8364885165390726,0.8372093023255814,0.003711162193945504,0.8294573643410853,0.8403100775193798,0.7950375861566329,0.7936507936507936,0.011873711759053987,0.7764227642276423,0.8089053803339518,0,0,64,relu,mse,uniform,0,200,0,5000
A0207,30,0.49375,0.4875,0.22664330455585935,0.19999999999999996,0.8,0.5,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.125,0.0,0.21650635094610965,0.0,0.5,0,0,64,relu,mse,uniform,0,200,0,5000
A0211,1038,0.945988024571809,0.9506829319153373,0.025624001060583112,0.8987515869657215,0.9724687373941105,0.8824089557785211,0.8942307692307693,0.02623980903378285,0.8405797101449275,0.9134615384615384,0.8282962648924832,0.8450704225352113,0.045971717023098074,0.759124087591241,0.88,0,0,64,relu,mse,uniform,0,200,0,5000
A0212,1143,0.9469974647516162,0.9499333128141991,0.016280467681967697,0.9194756554307115,0.9692921236291125,0.8932429326591589,0.8951965065502183,0.010419398735398055,0.8771929824561403,0.9039301310043668,0.7805937080264409,0.7741935483870968,0.035469272671700816,0.7234042553191491,0.8225806451612903,0,0,64,relu,mse,uniform,0,200,0,5000
A0216,894,0.9415512462301002,0.9535591929958127,0.025259624487846556,0.9094086021505376,0.9665017129805863,0.9003891783315549,0.9162011173184358,0.028000969500260372,0.848314606741573,0.9217877094972067,0.7222704354469061,0.761904761904762,0.07320725532965251,0.627450980392157,0.7941176470588235,0,0,64,relu,mse,uniform,0,200,0,5000
A0219,1203,0.956260268866712,0.9530313588850174,0.008940993711297208,0.9467005076142132,0.9689320388349514,0.9168499308437068,0.9083333333333333,0.021272990639234525,0.8958333333333334,0.9543568464730291,0.7575606458537333,0.7446808510638298,0.053842716580104165,0.6944444444444444,0.8405797101449276,0,0,64,relu,mse,uniform,0,200,0,5000
A0250,132,0.9776046176046176,1.0,0.027836152377445827,0.9365079365079365,1.0,0.9396011396011396,0.9259259259259259,0.03879877477638107,0.8846153846153846,1.0,0.9566762034189257,0.9545454545454545,0.03206707808968244,0.9032258064516129,1.0,0,0,64,relu,mse,uniform,0,200,0,5000
A0301,4601,0.9432595529219212,0.9401183731069781,0.010313398695664035,0.9295318502635576,0.9579832533150434,0.8930644856724733,0.8880434782608696,0.011431395095373638,0.8815217391304347,0.9097826086956522,0.7352070116147112,0.7146814404432135,0.03558335941356466,0.7013698630136986,0.7980535279805352,0,0,64,relu,mse,uniform,0,200,0,5000
A1101,3862,0.9577150052719544,0.9594781732917886,0.006329242371181206,0.9495578146954293,0.9670168304529538,0.8943528008097111,0.8911917098445595,0.009831589688327697,0.8848641655886158,0.9133247089262613,0.8177693543848787,0.8199566160520607,0.018630283473670774,0.7925407925407925,0.8480725623582767,0,0,64,relu,mse,uniform,0,200,0,5000
A2301,1513,0.9076941350323866,0.9010598141695703,0.018863527551905325,0.8836382113821137,0.9391382176192303,0.852606386466461,0.8543046357615894,0.005482815489053943,0.8443708609271523,0.858085808580858,0.6255447318260134,0.6299212598425197,0.0352278250123066,0.5742574257425742,0.6814814814814815,0,0,64,relu,mse,uniform,0,200,0,5000
A2402,1985,0.8852846455475151,0.8820882481432941,0.013964351699510574,0.8660731948565776,0.9058852621167162,0.8740554156171283,0.8690176322418136,0.012236733301250505,0.8614609571788413,0.8942065491183879,0.5848548901683229,0.5765765765765766,0.05263698887401197,0.509090909090909,0.6666666666666666,0,0,64,relu,mse,uniform,0,200,0,5000
A2403,1165,0.9689645028620781,0.9705882352941175,0.008777013535460745,0.9552604698672115,0.9815590111642744,0.9304721030042918,0.9356223175965666,0.014717964119727249,0.9141630901287554,0.9527896995708155,0.8300080385647937,0.8181818181818182,0.03433824613839197,0.7945205479452054,0.8739495798319329,0,0,64,relu,mse,uniform,0,200,0,5000
A2501,519,0.9583368069306214,0.9707865168539326,0.030379631592237416,0.8985507246376812,0.9818840579710145,0.9325989544436147,0.9514563106796117,0.024252016948748997,0.8942307692307693,0.9519230769230769,0.695850737956001,0.761904761904762,0.14767108486836442,0.4210526315789474,0.8148148148148148,0,0,64,relu,mse,uniform,0,200,0,5000
A2601,2395,0.9362350984433757,0.9366780760223383,0.018514355438433085,0.9050671550671552,0.961702581608705,0.9365344467640918,0.9331941544885177,0.00798794424622507,0.9290187891440501,0.9519832985386222,0.6949659585766282,0.6862745098039216,0.025472853717817094,0.6599999999999999,0.7256637168141592,0,0,64,relu,mse,uniform,0,200,0,5000
A2602,202,0.970203718631305,0.9708994708994709,0.019615820916258395,0.9413333333333334,0.9971264367816093,0.9304878048780487,0.925,0.024654061015757796,0.9,0.975609756097561,0.9026236559139786,0.9032258064516129,0.03192962547184944,0.8666666666666667,0.9600000000000001,0,0,64,relu,mse,uniform,0,200,0,5000
A2603,205,0.9303775203775204,0.9391891891891893,0.07126001939350032,0.8000000000000002,1.0,0.9024390243902438,0.9024390243902439,0.05561831341947015,0.8292682926829268,0.975609756097561,0.4414285714285714,0.6,0.3695667623538874,0.0,0.8571428571428571,0,0,64,relu,mse,uniform,0,200,0,5000
A2902,1839,0.8952970872009358,0.9009511731135067,0.013313095543809718,0.8729914933837428,0.9107048023670433,0.8591665679421869,0.8641304347826086,0.014787532002521853,0.8315217391304348,0.875,0.7102643325296966,0.7058823529411764,0.02865334312008335,0.6702127659574467,0.7461139896373057,0,0,64,relu,mse,uniform,0,200,0,5000
A3001,1949,0.9393749443035266,0.9353295098694627,0.008180404900478675,0.9318894609148469,0.9525797607178466,0.8989189901786304,0.8974358974358975,0.004553829616922342,0.8920308483290489,0.9051282051282051,0.8219656139223706,0.8306451612903225,0.019670409422400913,0.7849462365591398,0.8403361344537815,0,0,64,relu,mse,uniform,0,200,0,5000
A3002,912,0.8368754574197309,0.8487922705314009,0.03428303826017645,0.7865360696517413,0.8764386189258313,0.8168798414700055,0.8087431693989071,0.013332608309101162,0.8021978021978022,0.8351648351648352,0.6406733974110534,0.6391752577319587,0.04040357375771141,0.5714285714285715,0.6875,0,0,64,relu,mse,uniform,0,200,0,5000
A3101,3309,0.9429054647923942,0.9428222865722866,0.00904907620014417,0.9287434818285291,0.9541205412054121,0.9048013857974049,0.9033232628398792,0.00905658950799687,0.8925869894099848,0.918429003021148,0.7614061816257223,0.7631578947368423,0.019394920377525736,0.7372549019607842,0.7929824561403509,0,0,64,relu,mse,uniform,0,200,0,5000
A3201,575,0.8782520964956791,0.8712811171827565,0.013311878282921118,0.8663636363636363,0.9020522388059702,0.8208695652173914,0.8347826086956521,0.022407128220391502,0.782608695652174,0.8434782608695652,0.8237885307749625,0.8256880733944955,0.024405539963291308,0.7899159663865546,0.8615384615384616,0,0,64,relu,mse,uniform,0,200,0,5000
A3301,1616,0.914809808457872,0.9298960831334931,0.029857201180184378,0.8622923588039867,0.9403113045772324,0.9003764858770019,0.8919753086419753,0.014796325900021695,0.8885448916408669,0.9287925696594427,0.6148316268236664,0.5897435897435898,0.048652288208055595,0.5609756097560976,0.6849315068493151,0,0,64,relu,mse,uniform,0,200,0,5000
A6801,1700,0.9049858629860141,0.9098825654923216,0.016470396660478493,0.8730434782608696,0.9175645567770919,0.8300000000000001,0.8294117647058824,0.008605140493134007,0.8176470588235294,0.8441176470588235,0.7753696309739867,0.7816091954022988,0.019853241831327924,0.7377777777777778,0.7969348659003831,0,0,64,relu,mse,uniform,0,200,0,5000
A6802,3188,0.9354814059265983,0.9342822531798911,0.012176714550750407,0.9147212009803921,0.947925819003389,0.8949178899917817,0.8869701726844584,0.013416647078105814,0.8824451410658307,0.9184952978056427,0.7330230903029387,0.7251908396946564,0.03054112084573884,0.6995884773662551,0.7815126050420167,0,0,64,relu,mse,uniform,0,200,0,5000
A6901,2079,0.9447998432166591,0.9409213098729228,0.018295338271428183,0.9169443122322704,0.973315044578839,0.9307379518072288,0.9278846153846154,0.009529009242890256,0.9206730769230769,0.9471153846153846,0.6473918220345316,0.6511627906976744,0.05340829530411421,0.5714285714285713,0.725,0,0,64,relu,mse,uniform,0,200,0,5000
A8001,782,0.9657106539066798,0.9652598334768878,0.007987861302859124,0.9558270676691729,0.9792636479052053,0.9233137350971745,0.9171974522292994,0.021649121737352218,0.8980891719745223,0.9615384615384616,0.733687636652753,0.7111111111111111,0.042863609792665056,0.6923076923076924,0.8125,0,0,64,relu,mse,uniform,0,200,0,5000
B0702,2974,0.9629680809661849,0.9586684194246828,0.007579453572874983,0.9552527734345915,0.9738665791297371,0.9250165520753756,0.9242424242424242,0.007101320551762946,0.9142857142857143,0.9361344537815126,0.8008133271982112,0.8050847457627119,0.018443074478946286,0.7783251231527093,0.8256880733944955,0,0,64,relu,mse,uniform,0,200,0,5000
